Author,Pub Date,Rating,Substance,Title,href
arjuna,Sep 4 2003, ,LSD,Hinting at the Ineffable,exp.php?ID=19394
Crumbly,Jul 21 2003, ,LSD,The Switch That Controls Perception,exp.php?ID=7708
Anonymous,Apr 14 2003, ,LSD,Maybe I'm Immune to It,exp.php?ID=22951
Samanthe,Aug 8 2002, ,LSD,Microdoses: Consistent Desired Results,exp.php?ID=16655
Hiab-x,Aug 5 2002, ,LSD,Umpsquamadic Peel,exp.php?ID=15729
Carpet,May 15 2001, ,LSD,Happy Hill,exp.php?ID=1389
der metzger,Nov 12 2018, ,LSD,Jumping in the Deep End,exp.php?ID=85095
B,Nov 1 2018, ,LSD,In the Everglades,exp.php?ID=89144
Garthamonda,Oct 31 2018, ,LSD,Trip Into Oblivion and Back,exp.php?ID=74814
Ishmael ,Oct 12 2018, ,LSD,Communion With the Cosmic Voice,exp.php?ID=112437
bickoma,Oct 6 2018, ,LSD,Assumed Insanity and Adapted Recognition,exp.php?ID=65500
2lovers8lucy,Oct 5 2018, ,LSD,How High It Can Take You Is Not Always Good,exp.php?ID=111135
powderedtoastman,Sep 21 2018, ,LSD,Like Opening My Eyes for the First Time,exp.php?ID=88696
Baldwin,Sep 16 2018, ,LSD,I Love You and I'm Glad You Exist,exp.php?ID=81980
Syrxinge,Sep 14 2018, ,LSD,After One Year - the Positive Outcomes,exp.php?ID=112301
Darren,Sep 12 2018, ,LSD,Cosmic Soup,exp.php?ID=56804
MIP,Sep 12 2018, ,LSD,Thorax Focal Point,exp.php?ID=111654
Mr. Nice Guy,Sep 11 2018, ,LSD,Electric Feel,exp.php?ID=84714
Paul,Sep 5 2018, ,LSD,Became the Center of My Own Mandala,exp.php?ID=111209
Jack the Tripper,Aug 22 2018, ,LSD,Winter Unraveling,exp.php?ID=94307
Mountain_Man,Aug 20 2018, ,LSD,Melting Art Witches Entity Contact Akashic,exp.php?ID=108551
Arte-Octopus,Aug 3 2018, ,LSD,Perspectives From a Brain-Frycook,exp.php?ID=58615
Jettedlag,Jul 24 2018, ,LSD,A Night of Eternities,exp.php?ID=48684
cherry,Jul 18 2018, ,LSD,"Kaleidoscopic Boobs, Too",exp.php?ID=72573
trphd,Jul 6 2018, ,LSD,Thought Explosions and Strong Visuals,exp.php?ID=109051
Trypy,Jun 18 2018, ,LSD,Sucked Through a Portal,exp.php?ID=110263
Lowercase G,Jun 12 2018, ,LSD,A Calm Night,exp.php?ID=111901
Ryan J,Jun 10 2018, ,LSD,Delusions of Grandeur,exp.php?ID=76812
Izaq,Apr 20 2018, ,LSD,I Felt Like My Head Was a Dark Arena,exp.php?ID=110330
Lori,Apr 19 2018, ,LSD,Complete Insanity,exp.php?ID=39412
Sam,Apr 19 2018, ,LSD,Intense and a Lot of Fun,exp.php?ID=32243
HippieCommunist222,Apr 19 2018, ,LSD,The Stages of Ego Death,exp.php?ID=111775
proqsy,Apr 6 2018, ,LSD,Unlocking the Door Throwing Away the Key,exp.php?ID=111573
Hunter W.,Mar 21 2018, ,LSD,Oh the Places You'll Go...,exp.php?ID=68131
AceJunction,Mar 19 2018, ,LSD,A Roller Coaster Ride of Pure Pychedelicacy,exp.php?ID=76842
Nick,Mar 15 2018, ,LSD,How a Trip Can Be Beneficial,exp.php?ID=51309
Nar,Mar 9 2018, ,LSD,Inner Fears Manifested as External Voices,exp.php?ID=24042
B,Feb 8 2018, ,LSD,I Thought I Was Going to Die,exp.php?ID=89907
the fear,Jan 29 2018, ,LSD,A High Five With God.,exp.php?ID=74293
White_Panther,Jan 16 2018, ,LSD,The Shout And Thank You Routine,exp.php?ID=109574
EntactogenicVoyager,Dec 28 2017, ,LSD,Random Bathroom Psychosis,exp.php?ID=111350
sm138,Dec 13 2017, ,LSD,Stepping Back To Seeing The Big Spectacle For The First Time,exp.php?ID=35197
Raymond,Nov 22 2017, ,LSD,Nature For The Mind,exp.php?ID=76211
Ryan,Nov 2 2017, ,LSD,Colors Pouring Into My Soul,exp.php?ID=79443
LinguaSiderea,Oct 13 2017, ,LSD,Luscious Fruity Tastes,exp.php?ID=51468
Neemer,Aug 31 2017, ,LSD,Something I've Never Experienced Before,exp.php?ID=102026
Anonymous,Jun 20 2017, ,LSD,Clarity in the Forest - Microdosing,exp.php?ID=110564
Lisa,Mar 31 2017, ,LSD,A Day in the Botanical Gardens,exp.php?ID=109669
AFriendInNeedIs,Dec 30 2016, ,LSD,On the Importance of Set and Setting,exp.php?ID=88945
E for Elephant,Nov 20 2016, ,LSD,"Post Breakup, With Mirror Gazing",exp.php?ID=109320
Derkesthai,Apr 3 2010, ,LSD,Into the Woods,exp.php?ID=64562
kid,Mar 8 2010, ,LSD,Absolute Magic,exp.php?ID=61081
M.J. ,May 5 2009, ,LSD,Happy Halloween,exp.php?ID=74789
CK,May 1 2009, ,LSD,'I was Told it Was LSD.  It Wasn't',exp.php?ID=61840
Jim,Dec 18 2008, ,LSD,Trippin and Slippin,exp.php?ID=45384
Zeppelin fan,Dec 12 2008, ,LSD,Break On Through,exp.php?ID=54130
Jewfolife16,Sep 29 2008, ,LSD,Bubbles,exp.php?ID=44878
The Vir,Aug 27 2008, ,LSD,Bits and Pieces of an Awesome Trip,exp.php?ID=42715
Enso,May 19 2008, ,LSD,Project Earth/Space,exp.php?ID=71275
guy,Feb 20 2008, ,LSD,End of a Vial,exp.php?ID=49021
Liz,Feb 13 2008, ,LSD,Far Sightedness,exp.php?ID=66873
Doger,Dec 28 2007, ,LSD,Microwaving My Textbook,exp.php?ID=46978
Monkey Boy,Dec 5 2007, ,LSD,Very Different Than Mushrooms,exp.php?ID=10906
Zany the Loner,Oct 7 2007, ,LSD,Emotionally Beautiful,exp.php?ID=55244
Bobby Van Zimmerman,Jun 9 2007, ,LSD,Residential Neighborhood or Rock Concert?,exp.php?ID=35108
Dopy,Mar 8 2007, ,LSD,Snow White Blotter and the 7 Dwarfs,exp.php?ID=34097
Jim,Feb 26 2007, ,LSD,The Gathering,exp.php?ID=10450
Link,Dec 31 2006, ,LSD,"Grasping, Letting Go, and Nirvana",exp.php?ID=49943
Scrim,Dec 25 2006, ,LSD,"Setting, Setting, and Setting",exp.php?ID=44070
Jerry,Mar 23 2006, ,LSD,Girlfriend's First Voyage to the Antipodes,exp.php?ID=10318
BuddhaIsaG,Mar 15 2006, ,LSD,LSD Is Everything I've Heard It Is,exp.php?ID=50271
Glimpses,Jul 17 2005, ,LSD,Beware of Ego,exp.php?ID=44746
One38,Jul 14 2005, ,LSD,Depression Destruction,exp.php?ID=10165
Lou,Jul 14 2005, ,LSD,A Few of my Favorite Things,exp.php?ID=10143
scaredofwhitevans,Jul 7 2005, ,LSD,"Driving, a Fetus, and Traveling Through TV",exp.php?ID=9634
Tren,Apr 26 2005, ,LSD,A Trip to the Zoo,exp.php?ID=15436
Mat,Feb 9 2005, ,LSD,Born Again,exp.php?ID=9545
scientist,Jan 27 2005, ,LSD,A Little Too Much,exp.php?ID=12882
Brewha,Dec 31 2004, ,LSD,Trails on Fast-Moving Objects,exp.php?ID=39324
cybersmack69,Dec 29 2004, ,LSD,The Best and Worst Trip of My Life,exp.php?ID=12069
Ranger,Aug 6 2004, ,LSD,A Friendly Warning,exp.php?ID=9880
bombodil,May 13 2004, ,LSD,Skating on Thin Ice,exp.php?ID=8865
Tommy The Cat,Mar 31 2004, ,LSD,Flashback Two Years Later,exp.php?ID=32420
DMG,Mar 1 2004, ,LSD,Only Thought Will Exist,exp.php?ID=31407
Justin Case,Nov 19 2003, ,LSD,I Unwittingly Invented Hypertext on LSD,exp.php?ID=28531
Dulcimo,Nov 17 2003, ,LSD,Self Massage,exp.php?ID=28471
recovering,Oct 5 2003, ,LSD,Be Careful,exp.php?ID=18029
Innerself,Oct 2 2003, ,LSD,Never Underestimate the Power of LSD,exp.php?ID=24193
peace and fro,Oct 2 2003, ,LSD,Beyond Eye,exp.php?ID=26596
SierraMagick,Jul 12 2003, ,LSD,I am One with the Goddess and He is My God,exp.php?ID=24991
Vivienne,Jun 2 2003, ,LSD,There's a Plane in My Living Room,exp.php?ID=24164
Infojunkie,Apr 3 2003, ,LSD,The Lesson,exp.php?ID=22648
Moody,Mar 12 2003, ,LSD,Daily Use,exp.php?ID=20972
Tad,May 28 2002, ,LSD,Red Fire Against,exp.php?ID=6896
Colleen C.,Mar 23 2002, ,LSD,Bill The Trip Gnome,exp.php?ID=6661
serpico009,Feb 28 2002, ,LSD,The Good the Bad and the Very Unpleasant,exp.php?ID=6486
mby,Feb 28 2002, ,LSD,Microdot Mayhem,exp.php?ID=6560
Bailey,Feb 18 2002, ,LSD,Everyone and the Band Were Wired In,exp.php?ID=6288
Anonymous,Jan 17 2002, ,LSD,24 Beafterthats,exp.php?ID=5553
Pookyhead,Jan 14 2002, ,LSD,You Said They Were Weak!,exp.php?ID=5420
JRT,Dec 26 2001, ,LSD,New Year's Trip inside Two Souls,exp.php?ID=4466
Crazy S,Dec 16 2001, ,LSD,Beyond What is Real,exp.php?ID=3108
U of T Tripper,Nov 30 2001, ,LSD,Heavenly Bliss,exp.php?ID=2885
DHA,Nov 28 2001, ,LSD,Acid in the Woods,exp.php?ID=2765
broken hero,Nov 19 2001, ,LSD,US Air Force Tests for LSD,exp.php?ID=10695
Ergot,Nov 6 2001, ,LSD,En la Montaña Fluctuante,exp.php?ID=2647
vertis syers,Aug 20 2001, ,LSD,Peeling Clouds and Dancing Trees,exp.php?ID=3443
Anonymous,Jul 30 2001, ,LSD,Running on Autopilot,exp.php?ID=117
aphid,Jun 6 2001, ,LSD,LSD and Raving,exp.php?ID=7273
Misphunkshinz,May 15 2001, ,LSD,Out of Body LSD,exp.php?ID=1384
guff103,May 11 2001, ,LSD,Seeing the Music,exp.php?ID=1382
william d.,Feb 4 2001, ,LSD,Inverted Brain Octopus,exp.php?ID=4026
Daytripper,Feb 4 2001, ,LSD,Entities of Ambience,exp.php?ID=4388
Quale,Feb 4 2001, ,LSD,LSD First Time and Belief in God,exp.php?ID=4926
Ched,Feb 3 2001, ,LSD,Mind-Blowingly Intense Out of Body Experience,exp.php?ID=2690
Glow,Feb 3 2001, ,LSD,Touching the Sky with my Mind,exp.php?ID=2468
Moondog,Jan 15 2001, ,LSD,Never Underestimate the Power of LSD,exp.php?ID=4600
Jeff,Jan 7 2001, ,LSD,"Fear and Loathing in Eau Claire, WI",exp.php?ID=1084
Bry,Jan 6 2001, ,LSD,A True Bonding Experience,exp.php?ID=1057
Aurora Borealis,Nov 26 2000, ,LSD,Friend,exp.php?ID=3896
BoxBoy,Nov 20 2000, ,LSD,LSD as a supplement to daily life,exp.php?ID=3677
Jupiter,Nov 1 2000, ,LSD,I Wasn't in the Photograph,exp.php?ID=1533
Annie B,Oct 24 2000, ,LSD,Santa's On the Loose,exp.php?ID=841
Pookyhead,Oct 18 2000, ,LSD,Tripping Into the New Millenium,exp.php?ID=761
Omega,Sep 20 2000, ,LSD,This Can`t Be Real?!?!  My Only Thought,exp.php?ID=1312
wisteria,Sep 10 2000, ,LSD,"First Trip, Mixed Reaction",exp.php?ID=714
Sktbx,Jul 31 2000, ,LSD,LSD Less Effective For Me,exp.php?ID=472
Bill,Jun 23 2000, ,LSD,Beyond Our Grasp,exp.php?ID=661
Anonymous,Jun 21 2000, ,LSD,Paranoia,exp.php?ID=2004
Michael,Jun 21 2000, ,LSD,Visions of Blood and Warriors,exp.php?ID=2001
Anonymous,Jun 20 2000, ,LSD,"1 Blotter, 2 Nutters and a Telephone Call",exp.php?ID=1590
Jake,Jun 20 2000, ,LSD,Pestered by Police,exp.php?ID=1996
Slazbo,Jun 20 2000, ,LSD,"Sunsets, Skydiving and LSD",exp.php?ID=1994
Anonymous,Jun 20 2000, ,LSD,The Earth Below,exp.php?ID=1991
Roc Shaman,Jun 20 2000, ,LSD,A Plateau of Sparkling Clarity,exp.php?ID=1988
G 96,Jun 20 2000, ,LSD,Brain Wrapped Around the Universe,exp.php?ID=1987
Big J,Jun 20 2000, ,LSD,The Hurried Treadmill Stopped,exp.php?ID=1986
Anonymous,Jun 20 2000, ,LSD,Fundamental Sensations,exp.php?ID=1985
Fuzzy Cupid,Jun 20 2000, ,LSD,A Stoned Encounter,exp.php?ID=1984
Joel,Jun 20 2000, ,LSD,Tripping on a Cruise Ship,exp.php?ID=1983
James,Jun 20 2000, ,LSD,Thoughts on LSD,exp.php?ID=1982
Chronotron,Jun 20 2000, ,LSD,The Game,exp.php?ID=1981
e is4 Pete,May 29 2000, ,LSD,Mother Nature and the Mountain,exp.php?ID=8
qualiarabbit,Dec 21 2018,New,LSD,Gave Me the Energy Im Usually Lacking,exp.php?ID=110619
EntropyRising,Dec 17 2018,New,LSD,Introduction to *FUN*,exp.php?ID=50818
KDO,Dec 15 2018,New,LSD,Thank You for Changing My Life,exp.php?ID=38734
Adlai,Dec 14 2018,New,LSD,Anecdotal Tinnitus Kinematics,exp.php?ID=112660
Ben,Nov 27 2018,New,LSD,"Fantasy, Mystery, Bliss, and OBLIVION",exp.php?ID=21485
Justin,Nov 18 2018, ,LSD,A Normal College Weekday,exp.php?ID=67651
5t0n3r420,Nov 17 2018, ,LSD,A Walk Through Her Kaleidoscope Eyes,exp.php?ID=91041
Veetro,Oct 31 2018, ,LSD,I Didn't Know What to Believe That Halloween,exp.php?ID=62393
kingchampmarschillz,Oct 30 2018, ,LSD,Constant Sidetracked Thinking,exp.php?ID=32929
keyser,Oct 30 2018, ,LSD,Halloween in Hell,exp.php?ID=16365
strait_out_da_hood,Oct 4 2018, ,LSD,2 Hits in School on Halloween,exp.php?ID=75399
